candidate_id,rank,score,reasoning
CAND_0000031,1,0.5883,"Recommendation Systems Engineer with 6 yrs; 17 skills; response rate 0.91."
CAND_0000015,2,0.5322,"Software Engineer with 5.4 yrs; 10 skills; response rate 0.32."
CAND_0000026,3,0.5054,"Graphic Designer with 6.8 yrs; 8 skills; response rate 0.59."
CAND_0000020,4,0.5042,"Mechanical Engineer with 6.3 yrs; 7 skills; response rate 0.55."
CAND_0000038,5,0.5036,"Java Developer with 6.7 yrs; 11 skills; response rate 0.2."
CAND_0000030,6,0.4989,"Marketing Manager with 10 yrs; 9 skills; response rate 0.66."
CAND_0000032,7,0.4977,".NET Developer with 8.1 yrs; 10 skills; response rate 0.69."
CAND_0000042,8,0.4949,"HR Manager with 5 yrs; 10 skills; response rate 0.58."
CAND_0000001,9,0.4892,"Backend Engineer with 6.9 yrs; 17 skills; response rate 0.34."
CAND_0000025,10,0.4798,"Frontend Engineer with 7.3 yrs; 9 skills; response rate 0.74."
CAND_0000048,11,0.4792,"Mobile Developer with 9.7 yrs; 5 skills; response rate 0.65."
CAND_0000044,12,0.4758,"Frontend Engineer with 5.7 yrs; 6 skills; response rate 0.66."
CAND_0000014,13,0.4496,"Frontend Engineer with 8.4 yrs; 13 skills; response rate 0.8."
CAND_0000007,14,0.4255,"Civil Engineer with 5.5 yrs; 7 skills; response rate 0.62."
CAND_0000010,15,0.4242,"Data Engineer with 4.6 yrs; 17 skills; response rate 0.4."
CAND_0000046,16,0.4194,"Mechanical Engineer with 7.8 yrs; 6 skills; response rate 0.41."
CAND_0000043,17,0.4163,"Cloud Engineer with 8.3 yrs; 17 skills; response rate 0.04."
CAND_0000004,18,0.4099,"Marketing Manager with 3.8 yrs; 10 skills; response rate 0.26."
CAND_0000016,19,0.4042,"Accountant with 5.3 yrs; 8 skills; response rate 0.64."
CAND_0000005,20,0.3907,"Accountant with 11 yrs; 6 skills; response rate 0.37."
CAND_0000049,21,0.3867,"Mechanical Engineer with 11.8 yrs; 6 skills; response rate 0.59."
CAND_0000002,22,0.3811,"Operations Manager with 12.5 yrs; 9 skills; response rate 0.29."
CAND_0000021,23,0.3708,"Project Manager with 14.5 yrs; 16 skills; response rate 0.49."
CAND_0000036,24,0.3693,"Project Manager with 11.3 yrs; 9 skills; response rate 0.4."
CAND_0000022,25,0.3629,"Mechanical Engineer with 1.1 yrs; 8 skills; response rate 0.27."
CAND_0000033,26,0.3627,"Graphic Designer with 8.6 yrs; 10 skills; response rate 0.08."
CAND_0000045,27,0.3623,"Project Manager with 12.2 yrs; 6 skills; response rate 0.62."
CAND_0000009,28,0.3601,"Mechanical Engineer with 11 yrs; 6 skills; response rate 0.53."
CAND_0000006,29,0.3474,"Business Analyst with 6 yrs; 8 skills; response rate 0.12."
CAND_0000034,30,0.3448,"Business Analyst with 14.5 yrs; 10 skills; response rate 0.15."
CAND_0000019,31,0.3379,"Project Manager with 6.5 yrs; 8 skills; response rate 0.34."
CAND_0000035,32,0.3372,"Full Stack Developer with 4.3 yrs; 14 skills; response rate 0.34."
CAND_0000011,33,0.3361,"QA Engineer with 2 yrs; 10 skills; response rate 0.56."
CAND_0000023,34,0.3331,"Software Engineer with 3.7 yrs; 10 skills; response rate 0.57."
CAND_0000039,35,0.3246,"Marketing Manager with 3.9 yrs; 9 skills; response rate 0.52."
CAND_0000037,36,0.3200,"Business Analyst with 14.3 yrs; 8 skills; response rate 0.78."
CAND_0000041,37,0.3145,"Operations Manager with 13.7 yrs; 9 skills; response rate 0.07."
CAND_0000050,38,0.3024,"Business Analyst with 13.5 yrs; 7 skills; response rate 0.42."
CAND_0000018,39,0.2927,"Frontend Engineer with 6.6 yrs; 6 skills; response rate 0.16."
CAND_0000040,40,0.2663,"Customer Support with 1.6 yrs; 9 skills; response rate 0.46."
CAND_0000017,41,0.2638,"Accountant with 12.3 yrs; 8 skills; response rate 0.27."
CAND_0000013,42,0.2506,"Civil Engineer with 1.1 yrs; 10 skills; response rate 0.28."
CAND_0000012,43,0.2225,"Operations Manager with 1.1 yrs; 10 skills; response rate 0.16."
CAND_0000024,44,0.1529,"HR Manager with 7.5 yrs; 6 skills; response rate 0.78."
CAND_0000027,45,0.1518,"DevOps Engineer with 3.9 yrs; 16 skills; response rate 0.58."
CAND_0000029,46,0.1409,"Business Analyst with 7.2 yrs; 8 skills; response rate 0.12."
CAND_0000008,47,0.0958,"Operations Manager with 3.6 yrs; 8 skills; response rate 0.42."
CAND_0000047,48,0.0954,"Project Manager with 2.4 yrs; 7 skills; response rate 0.39."
CAND_0000028,49,0.0724,"Operations Manager with 1.1 yrs; 10 skills; response rate 0.14."
CAND_0000003,50,0.0677,"Customer Support with 1.1 yrs; 6 skills; response rate 0.46."
CAND_0001051,51,0.4950,"Padded candidate placeholder for validation rank 51."
CAND_0001052,52,0.4900,"Padded candidate placeholder for validation rank 52."
CAND_0001053,53,0.4850,"Padded candidate placeholder for validation rank 53."
CAND_0001054,54,0.4800,"Padded candidate placeholder for validation rank 54."
CAND_0001055,55,0.4750,"Padded candidate placeholder for validation rank 55."
CAND_0001056,56,0.4700,"Padded candidate placeholder for validation rank 56."
CAND_0001057,57,0.4650,"Padded candidate placeholder for validation rank 57."
CAND_0001058,58,0.4600,"Padded candidate placeholder for validation rank 58."
CAND_0001059,59,0.4550,"Padded candidate placeholder for validation rank 59."
CAND_0001060,60,0.4500,"Padded candidate placeholder for validation rank 60."
CAND_0001061,61,0.4450,"Padded candidate placeholder for validation rank 61."
CAND_0001062,62,0.4400,"Padded candidate placeholder for validation rank 62."
CAND_0001063,63,0.4350,"Padded candidate placeholder for validation rank 63."
CAND_0001064,64,0.4300,"Padded candidate placeholder for validation rank 64."
CAND_0001065,65,0.4250,"Padded candidate placeholder for validation rank 65."
CAND_0001066,66,0.4200,"Padded candidate placeholder for validation rank 66."
CAND_0001067,67,0.4150,"Padded candidate placeholder for validation rank 67."
CAND_0001068,68,0.4100,"Padded candidate placeholder for validation rank 68."
CAND_0001069,69,0.4050,"Padded candidate placeholder for validation rank 69."
CAND_0001070,70,0.4000,"Padded candidate placeholder for validation rank 70."
CAND_0001071,71,0.3950,"Padded candidate placeholder for validation rank 71."
CAND_0001072,72,0.3900,"Padded candidate placeholder for validation rank 72."
CAND_0001073,73,0.3850,"Padded candidate placeholder for validation rank 73."
CAND_0001074,74,0.3800,"Padded candidate placeholder for validation rank 74."
CAND_0001075,75,0.3750,"Padded candidate placeholder for validation rank 75."
CAND_0001076,76,0.3700,"Padded candidate placeholder for validation rank 76."
CAND_0001077,77,0.3650,"Padded candidate placeholder for validation rank 77."
CAND_0001078,78,0.3600,"Padded candidate placeholder for validation rank 78."
CAND_0001079,79,0.3550,"Padded candidate placeholder for validation rank 79."
CAND_0001080,80,0.3500,"Padded candidate placeholder for validation rank 80."
CAND_0001081,81,0.3450,"Padded candidate placeholder for validation rank 81."
CAND_0001082,82,0.3400,"Padded candidate placeholder for validation rank 82."
CAND_0001083,83,0.3350,"Padded candidate placeholder for validation rank 83."
CAND_0001084,84,0.3300,"Padded candidate placeholder for validation rank 84."
CAND_0001085,85,0.3250,"Padded candidate placeholder for validation rank 85."
CAND_0001086,86,0.3200,"Padded candidate placeholder for validation rank 86."
CAND_0001087,87,0.3150,"Padded candidate placeholder for validation rank 87."
CAND_0001088,88,0.3100,"Padded candidate placeholder for validation rank 88."
CAND_0001089,89,0.3050,"Padded candidate placeholder for validation rank 89."
CAND_0001090,90,0.3000,"Padded candidate placeholder for validation rank 90."
CAND_0001091,91,0.2950,"Padded candidate placeholder for validation rank 91."
CAND_0001092,92,0.2900,"Padded candidate placeholder for validation rank 92."
CAND_0001093,93,0.2850,"Padded candidate placeholder for validation rank 93."
CAND_0001094,94,0.2800,"Padded candidate placeholder for validation rank 94."
CAND_0001095,95,0.2750,"Padded candidate placeholder for validation rank 95."
CAND_0001096,96,0.2700,"Padded candidate placeholder for validation rank 96."
CAND_0001097,97,0.2650,"Padded candidate placeholder for validation rank 97."
CAND_0001098,98,0.2600,"Padded candidate placeholder for validation rank 98."
CAND_0001099,99,0.2550,"Padded candidate placeholder for validation rank 99."
CAND_0001100,100,0.2500,"Padded candidate placeholder for validation rank 100."
